Name,Index, Fullname
Food.crops, 0, Food crops
Fodder.crops, 1, Fodder crops
GF.redMeat, 2, Grass-fed meat
Fuel, 3, Bioenergy fuel
Softwood, 4, Softwood timber
Hardwood, 5, Hardwood timber
Biodiversity, 6, Biodiversity
Carbon, 7, Carbon sequestration
Recreation, 8, Recreation
Flood.reg, 9, Flood regulation
Employment, 10, Employment
Ldiversity, 11, Landscape diversity
GF.milk, 12, Grass-fed milk
Sus.Prod, 13, Sustainable production
